LIDNUM	LAT	LONG	MAX_AGE	MIN_AGE	BFA_MAX	BFA_MIN	COUNTRY	ORDER	FAMILY	SUBFAMILY	GENUS	SPECIES	TCRWNHT	CROWNTYP	DIET_1	SVLENGTH	BODYMASS	GENUSSPECIES	HYP	TIME_UNIT	MEAN_AGE_COMPUTED	MEAN_AGE	LOCALITY
10047	34.5	-120.25	30	28.1	Arikareean-1	Arikareean-1	United States of America	Artiodactyla	Merycoidodontidae	Leptaucheniinae	Sespia	nitida	hyp	L2220	p	NA	NA	Sespianitida	3	Arikareean-1	29.05	29.05	10047
10048	40.66666667	-117.9583333	30	28.1	Arikareean-1	Arikareean-1	United States of America	Artiodactyla	Merycoidodontidae	Leptaucheniinae	Sespia	nitida	hyp	L2220	p	NA	NA	Sespianitida	3	Arikareean-1	29.05	29.05	10048
10048	40.66666667	-117.9583333	30	28.1	Arikareean-1	Arikareean-1	United States of America	Artiodactyla	Merycoidodontidae	Merycochoerinae	Eporeodon	minor	bra	L2220	p	NA	NA	Eporeodonminor	1	Arikareean-1	29.05	29.05	10048
10048	40.66666667	-117.9583333	30	28.1	Arikareean-1	Arikareean-1	United States of America	Artiodactyla	Camelidae	Stenomylinae	Miotylopus	gibbi	hyp	L2220	p	NA	NA	Miotylopusgibbi	3	Arikareean-1	29.05	29.05	10048
10048	40.66666667	-117.9583333	30	28.1	Arikareean-1	Arikareean-1	United States of America	Artiodactyla	Hypertragulidae	NA	Nanotragulus	fontanus	bra	L3220	p	NA	NA	Nanotragulusfontanus	1	Arikareean-1	29.05	29.05	10048
10048	40.66666667	-117.9583333	30	28.1	Arikareean-1	Arikareean-1	United States of America	Perissodactyla	Rhinocerotidae	Diceratheriinae	Subhyracodon	NA	bra	L2212	p	NA	NA	NA	1	Arikareean-1	29.05	29.05	10048
10049	34.918056	-118.965	28.1	23	Arikareean-2	Arikareean-2	United States of America	Artiodactyla	Merycoidodontidae	Merycochoerinae	Eporeodon	latidens	bra	L2220	p	NA	NA	Eporeodonlatidens	1	Arikareean-2	25.55	25.55	10049
10049	34.918056	-118.965	28.1	23	Arikareean-2	Arikareean-2	United States of America	Artiodactyla	Hypertragulidae	NA	Hypertragulus	hesperius	bra	L3220	p	NA	NA	Hypertragulushesperius	1	Arikareean-2	25.55	25.55	10049
10049	34.918056	-118.965	28.1	23	Arikareean-2	Arikareean-2	United States of America	Artiodactyla	Hypertragulidae	NA	Nanotragulus	planiceps	bra	L3220	p	NA	NA	Nanotragulusplaniceps	1	Arikareean-2	25.55	25.55	10049
10049	34.918056	-118.965	28.1	23	Arikareean-2	Arikareean-2	United States of America	Perissodactyla	Rhinocerotidae	Diceratheriinae	Diceratherium	armatum	bra	L2212	p	NA	NA	Diceratheriumarmatum	1	Arikareean-2	25.55	25.55	10049
