TIME_UNIT	TIME_AGE	meanHYP	NO_LOCALITIES_inHYP	meanTAXA_inHYP	meanHYPTAXA_inHYP	diffHYP	diffTIME	diffHYP_perTIME	competition	p_ext	p_orig	p_peak	no_alive	no_localities	competition_perTIME	p_orig_perTIME	p_peak_perTIME	p_ext_perTIME
MN04	17.5	1.007	31	6.5	5.8	0.048	1.4	0.0343	4.088	0.2	0.263	0.114	35	57	2.92	7.14285714285714	2.85714285714286	5
MN05	16.1	1.055	62	8	6.8	0.004	2.25	0.0018	5.257	0.105	0.081	0.368	38	105	2.33644444444444	1.33333333333333	6.22222222222222	1.77777777777778
MN06	13.85	1.051	28	6.4	5.7	0	2	0	3.578	0.054	0.125	0.189	37	64	1.789	2.5	3.5	1
MN07	11.85	1.051	30	7.2	6.4	0.239	1.5	0.1593	3.372	0.2	0.135	0.125	40	86	2.248	3.33333333333333	3.33333333333333	5.33333333333333
MN09	10.35	1.29	32	7.7	6.6	0.283	1.1	0.2573	4.095	0.378	0.179	0.135	37	74	3.72272727272727	4.54545454545454	4.54545454545454	12.7272727272727
MN10	9.25	1.573	10	7.3	6.6	0.136	0.65	0.2092	3.739	0.071	0.103	0.143	28	23	5.75230769230769	4.61538461538461	6.15384615384615	3.07692307692308
MN11	8.6	1.437	7	9.6	7.7	0.205	0.95	0.2158	5.273	0.276	0.16	0.207	29	11	5.55052631578947	4.21052631578947	6.31578947368421	8.42105263157895
MN12	7.65	1.642	13	6.7	5.1	0.474	1.45	0.3269	3.6	0.2	0.2	0.12	25	25	2.48275862068966	3.44827586206897	2.06896551724138	3.44827586206897
MN13	6.2	2.116	15	6.1	5.7	0.34	1.45	0.2345	4.04	0.28	0.182	0.24	25	25	2.78620689655172	2.75862068965517	4.13793103448276	4.82758620689655
MN14	4.75	1.776	8	5.4	4.4	0.206	0.95	0.2168	3.05	0.182	0.25	0.136	22	20	3.21052631578947	6.31578947368421	3.15789473684211	4.21052631578947
MN15	3.8	1.57	6	7	5.8	0.013	0.8	0.0162	3.846	0.208	0.136	0.167	24	13	4.8075	3.75	5	6.25
MN16	3	1.583	9	8.9	6.6	0.282	0.72	0.3917	4.933	0.227	0.056	0.227	22	15	6.85138888888889	1.38888888888889	6.94444444444444	6.94444444444444
MN17	2.28	1.865	12	8.6	6.6	0.402	0.74	0.5432	6.467	0.389	0.214	0.5	18	15	8.73918918918919	4.05405405405405	12.1621621621622	9.45945945945946
