TIME_UNIT	TIME_AGE	meanHYP	NO_LOCALITIES_inHYP	meanTAXA_inHYP	meanHYPTAXA_inHYP	diffHYP	diffTIME	diffHYP_perTIME	competition	p_ext	p_orig	p_peak	no_alive	no_localities	competition_perTIME	p_orig_perTIME	p_peak_perTIME	p_ext_perTIME
Chadronian-2	36.1	1.245	5	9.4	9.4	0.116	0.9	0.1289	5.75	0	0.034	0.143	28	8	6.38888888888889	1.11111111111111	4.44444444444444	0
Chadronian-3	35.2	1.129	8	9.1	9.1	0.006	1	0.006	7.2	0.069	0	0.138	29	10	7.2	0	4	2
Chadronian-4	34.2	1.123	8	11.2	11.2	0.29	5.15	0.0563	7.667	0.519	0.458	0.333	27	12	1.48873786407767	2.13592233009709	1.74757281553398	2.71844660194175
Arikareean-1	29.05	1.413	12	8.4	8.4	0.041	3.5	0.0117	5.647	0.167	0.091	0.333	24	17	1.61342857142857	0.571428571428571	2.28571428571429	1.14285714285714
Arikareean-2	25.55	1.372	10	6.3	6.3	0.054	4.3	0.0126	4.333	0.045	0.382	0.091	22	15	1.00767441860465	3.02325581395349	0.465116279069767	0.232558139534884
Arikareean-3	21.25	1.318	10	9.7	9.7	0.134	2.1	0.0638	5.412	0.176	0.2	0.059	34	17	2.57714285714286	3.33333333333333	0.952380952380952	2.85714285714286
Arikareean-4	19.15	1.452	9	9.7	9.7	0.181	1	0.181	6.833	0.114	0.38	0.314	35	12	6.833	19	11	4
Hemingfordian-1	18.15	1.633	22	7.2	7.2	0.218	1.4	0.1557	5.357	0.14	0.218	0.14	50	28	3.82642857142857	8.57142857142857	5	5
Hemingfordian-2	16.75	1.851	16	11	11	0.012	1.35	0.0089	7.111	0.145	0.19	0.164	55	27	5.26740740740741	8.14814814814815	6.66666666666667	5.92592592592593
Barstovian-1	15.4	1.863	29	11.9	11.9	0.178	1.75	0.1017	10.303	0.172	0.111	0.276	58	33	5.88742857142857	3.42857142857143	9.14285714285714	5.71428571428571
Barstovian-2	13.65	2.041	27	11.9	11.9	0.485	1.35	0.3593	7.833	0.315	0.075	0.13	54	42	5.80222222222222	2.22222222222222	5.18518518518519	12.5925925925926
Clarendonian-1	12.3	2.526	4	9.8	9.8	0.204	1.2	0.17	7.6	0.05	0.095	0.2	40	5	6.33333333333333	3.33333333333333	6.66666666666667	1.66666666666667
Clarendonian-2	11.1	2.322	21	11.3	11.3	0.01	1.55	0.0065	7.767	0.167	0.028	0.095	42	30	5.01096774193548	0.645161290322581	2.58064516129032	4.51612903225806
Clarendonian-3	9.55	2.312	12	6.5	6.5	0.093	1.25	0.0744	5	0.25	0.206	0.056	36	17	4	5.6	1.6	7.2
Hemphillian-1	8.3	2.405	14	8.9	8.9	0.035	1.1	0.0318	7.235	0.059	0.059	0.118	34	17	6.57727272727273	1.81818181818182	3.63636363636364	1.81818181818182
Hemphillian-2	7.2	2.44	13	9.5	9.5	0.051	0.85	0.06	8.133	0.118	0	0.324	34	15	9.56823529411765	0	12.9411764705882	4.70588235294118
Hemphillian-3	6.35	2.389	9	8.1	8.1	0.144	0.95	0.1516	6.417	0.1	0.069	0.1	30	12	6.75473684210526	2.10526315789474	3.15789473684211	3.15789473684211
Hemphillian-4	5.4	2.533	11	7.7	7.7	0.195	1.7	0.1147	5.312	0.345	0.208	0.103	29	16	3.12470588235294	2.94117647058824	1.76470588235294	5.88235294117647
