TIME_UNIT	TIME_AGE	meanHYP	NO_LOCALITIES_inHYP	meanTAXA_inHYP	meanHYPTAXA_inHYP	diffHYP	diffTIME	diffHYP_perTIME
MN02	21.4	1	14	4.9	4.8	0	2.4	0
MN03	19	1	31	6.3	6.1	0.007	1.5	0.0047
MN04	17.5	1.007	31	6.5	5.8	0.048	1.4	0.0343
MN05	16.1	1.055	62	8	6.8	0.004	2.25	0.0018
MN06	13.85	1.051	28	6.4	5.7	0	2	0
MN07	11.85	1.051	30	7.2	6.4	0.239	1.5	0.1593
MN09	10.35	1.29	32	7.7	6.6	0.283	1.1	0.2573
MN10	9.25	1.573	10	7.3	6.6	0.136	0.65	0.2092
MN11	8.6	1.437	7	9.6	7.7	0.205	0.95	0.2158
MN12	7.65	1.642	13	6.7	5.1	0.474	1.45	0.3269
MN13	6.2	2.116	15	6.1	5.7	0.34	1.45	0.2345
MN14	4.75	1.776	8	5.4	4.4	0.206	0.95	0.2168
MN15	3.8	1.57	6	7	5.8	0.013	0.8	0.0162
MN16	3	1.583	9	8.9	6.6	0.282	0.72	0.3917
MN17	2.28	1.865	12	8.6	6.6	0.402	0.74	0.5432
MQ18	1.54	2.267	3	4.7	4	0.027	1.46	0.0185
MQ19	0.08	2.24	52	6.1	4.9	NA	NA	NA
