TIME_UNIT	TIME_AGE	meanHYP	NO_LOCALITIES_inHYP	meanTAXA_inHYP	meanHYPTAXA_inHYP	diffHYP	diffTIME	diffHYP_perTIME
Duchesnean	38.5	1.034	14	6.7	6.7	0.186	1.75	0.1063
Chadronian-1	36.75	1.22	6	8.3	8.3	0.025	0.65	0.0385
Chadronian-2	36.1	1.245	5	9.4	9.4	0.116	0.9	0.1289
Chadronian-3	35.2	1.129	8	9.1	9.1	0.006	1	0.006
Chadronian-4	34.2	1.123	8	11.2	11.2	0.29	5.15	0.0563
Arikareean-1	29.05	1.413	12	8.4	8.4	0.041	3.5	0.0117
Arikareean-2	25.55	1.372	10	6.3	6.3	0.054	4.3	0.0126
Arikareean-3	21.25	1.318	10	9.7	9.7	0.134	2.1	0.0638
Arikareean-4	19.15	1.452	9	9.7	9.7	0.181	1	0.181
Hemingfordian-1	18.15	1.633	22	7.2	7.2	0.218	1.4	0.1557
Hemingfordian-2	16.75	1.851	16	11	11	0.012	1.35	0.0089
Barstovian-1	15.4	1.863	29	11.9	11.9	0.178	1.75	0.1017
Barstovian-2	13.65	2.041	27	11.9	11.9	0.485	1.35	0.3593
Clarendonian-1	12.3	2.526	4	9.8	9.8	0.204	1.2	0.17
Clarendonian-2	11.1	2.322	21	11.3	11.3	0.01	1.55	0.0065
Clarendonian-3	9.55	2.312	12	6.5	6.5	0.093	1.25	0.0744
Hemphillian-1	8.3	2.405	14	8.9	8.9	0.035	1.1	0.0318
Hemphillian-2	7.2	2.44	13	9.5	9.5	0.051	0.85	0.06
Hemphillian-3	6.35	2.389	9	8.1	8.1	0.144	0.95	0.1516
Hemphillian-4	5.4	2.533	11	7.7	7.7	0.195	1.7	0.1147
Blancan-Early	3.7	2.338	37	5.4	5.4	0.087	1.5	0.058
Blancan-Late	2.2	2.425	26	5.6	5.6	NA	NA	NA
