TIME_UNIT	TIME_AGE	meanHYP	no_localities	no_observed	no_taxa	no_alive	no_first	no_peak	no_last
Duchesnean	38.5	1.034	20	74	20	20	4	6	1
Chadronian-1	36.75	1.22	8	48	19	23	5	5	0
Chadronian-2	36.1	1.245	8	46	22	28	1	4	0
Chadronian-3	35.2	1.129	10	72	24	29	0	4	2
Chadronian-4	34.2	1.123	12	92	24	27	11	9	14
Arikareean-1	29.05	1.413	17	96	21	24	2	8	4
Arikareean-2	25.55	1.372	15	65	17	22	13	2	1
Arikareean-3	21.25	1.318	17	92	33	34	7	2	6
Arikareean-4	19.15	1.452	12	82	30	35	19	11	4
Hemingfordian-1	18.15	1.633	28	150	45	50	12	7	7
Hemingfordian-2	16.75	1.851	27	192	50	55	11	9	8
Barstovian-1	15.4	1.863	33	340	57	58	6	16	10
Barstovian-2	13.65	2.041	42	329	53	54	3	7	17
Clarendonian-1	12.3	2.526	5	38	28	40	4	8	2
Clarendonian-2	11.1	2.322	30	233	40	42	1	4	7
Clarendonian-3	9.55	2.312	17	85	29	36	7	2	9
Hemphillian-1	8.3	2.405	17	123	30	34	2	4	2
Hemphillian-2	7.2	2.44	15	122	32	34	0	11	4
Hemphillian-3	6.35	2.389	12	77	25	30	2	3	3
Hemphillian-4	5.4	2.533	16	85	27	29	5	3	10
Blancan-Early	3.7	2.338	47	206	24	24	0	4	9
Blancan-Late	2.2	2.425	34	147	15	15	0	6	15
