LOCATION	TIME_UNIT	MEAN_AGE	NO_TAXA	LAT	LONG	NO_HYP_TAXA	MEAN_HYP
20001	MN07	11.85	12	48.7	10.05	10	1.1
20002	MN06	13.85	20	43.9	-0.5	18	1
20004	MN07	11.85	17	45.6	5.23	15	1.133
20005	MN05	16.1	12	48.1	2.15	9	1
20006	MN04	17.5	12	48.07	1.85	11	1
20007	MN04	17.5	10	43.99	0.47	9	1
20008	MN04	17.5	13	44.2	0.9	12	1
20009	MN06	13.85	7	43.88	0.7	7	1
20010	MN05	16.1	11	47.4	1.2	8	1
20011	MN05	16.1	11	47.55	15.3	10	1
20012	MN04	17.5	5	48.97	11.2	4	1
20013	MN05	16.1	20	47.3	0.8	17	1
20014	MN04	17.5	11	39.42	-0.79	10	1
20015	MN05	16.1	11	40.2	-3.5	10	1.3
20016	MN04	17.5	11	48.48	10.09	9	1.222
20017	MN05	16.1	11	48.62	11.8	8	1
20019	MN09	10.35	18	49.72	8.97	15	1.267
20020	MN09	10.35	18	41.53	2.14	15	1.2
20021	MN09	10.35	7	41.53	2.07	7	1
20022	MN09	10.35	9	41	-4.2	8	1.25
20026	MN04	17.5	6	41.49	2.04	6	1
20027	MN04	17.5	4	41.45	1.99	4	1
20028	MN04	17.5	2	41.52	1.76	2	1
20029	MN04	17.5	9	41.47	1.78	9	1
20030	MN04	17.5	1	41.47	2.01	1	1
20031	MN04	17.5	5	41.42	1.82	5	1
20032	MN04	17.5	6	40.48	-2.65	4	1
20033	MN05	16.1	1	41.18	-1.48	0	NaN
20034	MN05	16.1	1	39.98	-4.28	0	NaN
20036	MN05	16.1	4	40.5	-3.5	3	1.333
20037	MN05	16.1	4	40.44	-3.59	4	1.25
20038	MN06	13.85	10	40.5	-3.5	9	1.111
20039	MN05	16.1	6	41.9	-1.72	5	1.2
20040	MN06	13.85	6	41.17	-1.44	5	1.2
20041	MN06	13.85	4	41.17	-1.44	3	1
20042	MN06	13.85	12	41.3	-1.5	10	1.1
20043	MN07	11.85	3	41.9	-1.72	2	1
20044	MN07	11.85	1	41.88	-1.6	1	1
20045	MN07	11.85	15	41.52	2.08	14	1
20046	MN07	11.85	4	41.38	2.16	4	1
20047	MN07	11.85	3	41.5	1.81	3	1
20048	MN07	11.85	3	41.61	-2.85	2	1
