TU11	TU10	TU9	TU8	TU7	TU6	TU5	TU4	TU3	TU2	
0	0	2	3	4	0	0	6	3	0	Cercopithecoides
1	0	0	3	3	0	1	6	15	1	Sivatherium
5	5	2	10	5	5	6	14	27	2	Aepyceros
4	5	2	3	6	3	6	18	35	7	Kobus
0	1	5	10	8	2	2	15	33	4	Tragelaphus
0	0	3	4	7	1	3	12	24	3	Giraffa
0	0	0	2	0	0	1	8	12	1	Connochaetes
0	0	3	2	5	0	0	0	0	0	Simatherium
0	0	1	1	3	2	0	0	3	0	Parmularius
5	5	5	4	3	2	1	3	2	0	Parapapio
0	0	1	5	8	6	3	17	37	3	Theropithecus
0	0	5	3	8	5	3	6	24	8	Hippopotamus
0	2	2	5	3	3	3	17	16	7	Gazella
0	0	0	2	6	2	0	15	19	6	Megalotragus
0	0	3	7	9	6	6	18	6	0	Notochoerus
5	5	5	7	6	1	0	0	0	0	Nyanzachoerus
5	4	1	5	7	5	4	13	25	3	Hipparion
1	1	3	4	7	2	3	9	7	1	Deinotherium
0	0	0	1	1	0	0	17	38	8	Equus
0	0	0	1	5	0	5	19	38	7	Kolpochoerus
0	0	0	1	1	1	4	19	42	10	Metridiochoerus
1	0	1	2	0	0	0	0	3	0	Raphicerus
5	5	3	1	0	0	0	5	5	0	Eurygnathohippus
0	0	4	1	3	2	0	3	19	0	Australopithecus
0	3	3	1	0	0	0	0	0	0	Damalacra
3	3	1	1	1	0	0	3	3	1	Hippotragus
0	0	3	4	5	1	0	4	2	0	Loxodonta
0	2	3	2	6	4	6	14	17	1	Elephas
5	5	2	4	1	0	0	8	36	3	Hexaprotodon
2	3	2	2	3	2	1	6	18	2	Ceratotherium
2	1	0	1	3	2	0	0	1	0	Potamochoerus
0	0	1	2	2	2	0	6	1	0	Rhinocolobus
2	5	2	0	3	1	2	4	29	0	Damaliscus
2	2	1	1	5	0	2	16	19	2	Menelikia
0	0	0	0	0	0	0	2	8	1	Beatragus
0	0	0	0	0	0	0	8	18	2	Homo
0	0	0	0	0	0	1	7	37	4	Pelorovis
0	0	0	0	0	0	0	0	11	0	Cercocebus
0	0	0	0	0	0	0	1	5	0	Colobus
0	0	0	0	0	0	2	1	3	0	Paranthropus
0	0	0	0	0	1	1	3	6	0	Oryx
0	0	0	0	4	1	2	11	19	0	Antidorcas
0	4	3	0	2	2	1	2	9	1	Diceros
0	2	1	0	0	1	0	0	3	0	Madoqua
0	0	0	0	2	1	1	3	0	0	Paracolobus
1	2	3	0	0	0	0	1	0	0	Anancus
5	1	1	0	0	0	0	0	0	0	Miotragocerus
4	2	1	0	0	0	0	0	0	0	Stegotetrabelodon
5	5	2	0	0	0	0	0	0	0	Brachypotherium
5	4	1	0	0	0	0	0	0	0	Palaeotragus
3	3	0	0	0	1	0	0	0	0	Tragoportax
0	0	0	0	2	2	2	1	0	0	Ugandax
