Duchesnean	Chadronian-1	Chadronian-2	Chadronian-3	Chadronian-4	Arikareean-1	Arikareean-2	Arikareean-3	Arikareean-4	Hemingfordian-1	Hemingfordian-2	Barstovian-1	Barstovian-2	Clarendonian-1	Clarendonian-2	Clarendonian-3	Hemphillian-1	Hemphillian-2	Hemphillian-3	Hemphillian-4	Blancan-Early	Blancan-Late	
0	0	0	0	0	0.588	0.267	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sespia
0	0	0	0	0	0.765	0.667	0.235	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0	Eporeodon
0	0	0	0	0	0.294	0.2	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Miotylopus
0	0	0	0	0	0.529	0.133	0.412	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0	Nanotragulus
0	0.125	0.125	0.3	0.5	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Subhyracodon
0	0	0.125	0	0.25	0.353	0.133	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hypertragulus
0	0	0	0	0	0.471	0.4	0.353	0.333	0.143	0.037	0.03	0	0	0	0	0	0	0	0	0	0	Diceratherium
0	0	0	0	0	0.059	0	0.235	0.25	0	0	0.03	0	0	0	0	0	0	0	0	0	0	Kalobatippus
0	0	0	0	0	0	0	0.294	0.667	0.536	0.444	0.273	0.31	0.4	0.567	0.647	0.059	0.067	0.083	0	0	0	Merychyus
0	0	0	0	0	0	0.133	0.353	0.333	0.036	0.074	0	0	0	0	0	0	0	0	0	0	0	Stenomylus
0	0	0	0	0	0	0	0	0.083	0	0.259	0.364	0.167	0.2	0	0	0	0	0	0	0	0	Miolabis
0	0	0	0	0	0	0	0.235	0.417	0.357	0.111	0.091	0.048	0	0	0	0	0	0	0	0	0	Parahippus
0	0	0	0	0	0	0	0	0.167	0.143	0	0	0	0	0	0	0	0	0	0	0	0	Tanymykter
0	0	0	0	0	0	0	0.059	0.25	0.179	0	0	0	0	0	0	0	0	0	0	0	0	Pseudoblastomeryx
0	0	0	0	0	0	0	0.059	0.083	0.25	0.222	0.242	0.119	0	0	0	0	0	0	0	0	0	Archaeohippus
0	0	0	0	0	0	0	0	0	0.143	0.333	0.515	0.476	0.4	0.133	0	0	0	0	0	0	0	Merychippus
0	0	0	0	0	0	0	0.059	0	0.25	0.185	0	0	0	0	0	0	0	0	0	0	0	Anchitherium
0	0	0	0	0	0	0	0	0	0.036	0.148	0.364	0.119	0	0	0	0	0	0	0	0	0	Ticholeptus
0	0	0	0	0	0	0	0	0	0.036	0.222	0.455	0.357	0.2	0.2	0.059	0.118	0	0	0	0	0	Aepycamelus
0	0	0	0	0	0	0	0.059	0	0.143	0.222	0.273	0.262	0	0.1	0.059	0	0	0.083	0.062	0	0	Merycodus
0	0	0	0	0	0	0	0	0	0.071	0.222	0.061	0	0	0	0	0	0	0	0	0	0	Parapliohippus
0	0	0	0	0	0	0	0	0	0	0.185	0.455	0.071	0	0	0	0	0	0	0	0	0	Acritohippus
0	0	0	0	0	0	0	0	0	0	0.333	0.485	0.095	0	0	0	0	0	0	0	0	0	Brachycrus
0	0	0	0	0	0	0	0	0	0	0	0.121	0.167	0.2	0.367	0.235	0	0.067	0	0	0	0	Cranioceras
0	0	0	0	0	0	0	0	0	0.036	0.111	0.545	0.286	0.2	0.2	0.176	0	0	0	0	0	0	Hypohippus
0	0	0	0	0	0	0	0.059	0.167	0.107	0.111	0.152	0.024	0	0	0	0	0	0	0	0	0	Hesperhys
0	0	0	0	0	0	0	0	0	0.143	0.259	0.212	0.31	0.2	0.3	0.059	0	0	0	0	0	0	Protolabis
0	0	0	0	0	0	0	0	0	0	0.111	0.303	0.024	0	0	0	0	0	0	0	0	0	Rakomeryx
0	0	0	0	0	0	0	0	0	0.036	0.222	0.242	0.071	0	0	0	0	0	0	0	0	0	Paramiolabis
0	0	0	0	0	0	0	0	0	0	0	0.03	0.262	0	0.3	0.235	0.118	0.133	0.167	0.125	0	0	Gomphotherium
0	0	0	0	0	0	0	0	0	0	0	0.061	0.214	0.2	0.133	0	0	0	0	0	0	0	Ramoceros
0	0	0	0	0	0	0	0	0	0	0	0.121	0.119	0.2	0.333	0.235	0	0	0	0	0	0	Cosoryx
0	0	0	0	0	0	0	0	0	0	0	0.091	0.214	0.4	0.167	0.059	0	0	0	0	0	0	Megahippus
0	0	0	0	0	0	0	0	0	0	0	0.061	0.19	0.6	0.533	0.353	0.353	0.467	0.417	0.125	0	0	Cormohipparion
0	0	0	0	0	0	0	0	0	0	0	0.061	0.214	0.6	0.5	0.412	0.412	0.4	0.25	0.062	0.021	0	Pliohippus
0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.2	0.233	0.235	0.765	0.667	0.5	0.312	0.149	0.059	Megatylopus
0	0	0	0	0	0	0	0	0	0.107	0.222	0.212	0.167	0	0	0	0	0	0	0	0	0	Bouromeryx
0	0	0	0	0	0	0	0	0	0	0.148	0.485	0.214	0	0.067	0	0	0	0	0	0	0	Dromomeryx
0	0	0	0	0	0	0	0	0	0.036	0.037	0.121	0	0	0	0.059	0	0	0	0	0	0	Hesperocamelus
0	0	0	0	0	0	0	0	0	0	0	0.182	0.095	0	0	0	0	0	0	0	0	0	Scaphohippus
0	0	0	0	0	0	0	0.059	0.083	0	0.074	0.03	0	0	0	0	0	0	0	0	0	0	Cynorca
0	0	0	0	0	0	0	0.059	0.25	0.143	0.259	0.152	0.167	0	0.133	0	0.059	0	0	0	0	0	Michenia
0	0	0	0	0	0	0	0	0	0	0.037	0.121	0.214	0.2	0.333	0.118	0.235	0.333	0.083	0	0.064	0	Procamelus
0	0	0	0	0	0	0	0.118	0.333	0.357	0.037	0	0	0	0	0	0	0	0	0	0	0	Menoceras
0	0	0	0	0	0	0	0	0	0	0.148	0.03	0.024	0	0	0	0	0	0	0	0	0	Sinclairomeryx
0	0	0	0	0	0	0	0	0.083	0	0.037	0.091	0.095	0	0	0	0	0	0	0	0	0	Pseudoparablastomeryx
0	0	0	0	0	0	0	0	0	0.036	0.074	0.273	0.357	0.2	0.2	0.059	0	0	0	0	0	0	Peraceras
0	0	0	0	0	0	0	0	0	0.036	0.185	0.333	0.31	0.2	0.367	0.294	0.588	0.6	0.667	0.562	0.106	0	Teleoceras
0	0	0	0	0	0	0	0	0.083	0.143	0.185	0.394	0.238	0.2	0.167	0	0	0	0	0	0	0	Blastomeryx
0	0	0	0	0	0	0	0	0.083	0.071	0.148	0.303	0	0	0	0	0	0	0	0	0	0	Desmatippus
0	0	0	0	0	0	0	0	0	0.036	0.111	0.364	0.333	0.2	0.3	0.176	0.471	0.533	0.417	0.188	0.043	0	Aphelops
0	0	0	0	0	0	0	0	0	0	0	0.03	0.024	0	0.233	0.412	0.176	0.2	0.083	0.062	0	0	Hipparion
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0.5	0.25	0	0	Pediomeryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176	0.267	0	0.188	0	0	Sphenophalos
0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0.167	0.294	0.471	0.6	0.5	0.5	0	0	Neohipparion
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.059	0.118	0.133	0.083	0.25	0.319	0.382	Nannippus
0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.118	0.412	0.6	0.583	0.625	0.085	0	Dinohippus
0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.2	0.067	0.118	0.059	0.067	0.083	0.062	0.064	0.118	Tapirus
0	0	0	0	0	0	0	0	0	0.071	0.185	0.333	0.143	0.4	0.067	0.059	0	0	0	0	0	0	Paracosoryx
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0.353	0.333	0	0	0	0	Yumaceras
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0.176	0.2	0.083	0.062	0.106	0.088	Mammut
0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0.412	0.133	0.167	0.25	0.511	0.471	Hemiauchenia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118	0.267	0.25	0.125	0.043	0	Texoceros
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0.067	0	0.188	0.085	0.118	Rhynchotherium
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213	0.176	Odocoileus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0.851	0.912	Equus
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062	0.298	0.412	Stegomastodon
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404	0.5	Camelops
0.8	0.375	0.25	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Protoreodon
0.3	0	0.125	0.1	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leptotragulus
0.2	0.125	0	0	0	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Simimeryx
0	0	0	0.1	0.583	0.412	0.333	0.176	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	Miohippus
0	0	0	0	0	0.471	0.4	0.412	0.417	0.071	0	0	0	0	0	0	0	0	0	0	0	0	Merycoides
0.1	0.125	0	0.1	0.333	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eotylopus
0	0	0	0	0	0.118	0.2	0.118	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	Oreodontoides
0	0	0	0	0	0	0	0	0	0.036	0.37	0.03	0	0	0	0	0	0	0	0	0	0	Tylocephalonyx
0.05	0.25	0.5	0.1	0	0.353	0.267	0.235	0.167	0	0	0	0	0	0	0	0	0	0	0	0	0	Leptauchenia
0	0	0.125	0.2	0.333	0.118	0	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hypisodus
0	0	0	0	0	0.176	0.8	0.412	0.5	0.214	0.037	0	0	0	0	0	0	0	0	0	0	0	Merycochoerus
0.1	0.25	0.375	0.7	0.333	0.059	0.133	0.176	0.083	0.036	0	0	0	0	0	0	0	0	0	0	0	0	Leptomeryx
0	0	0	0	0	0	0.067	0.235	0.417	0.071	0	0	0	0	0	0	0	0	0	0	0	0	Hypsiops
0	0	0	0	0	0.176	0.067	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pseudolabis
