TAXON	ORDER	no_times	no_loc	no_hyp	HYP	no_diet	DIET_1
Cercopithecoides	Primates	5	18	1	1	1	NA
Sivatherium	Artiodactyla	7	30	1	2	1	NA
Aepyceros	Artiodactyla	10	81	1	3	1	NA
Kobus	Artiodactyla	10	89	2	3	1	NA
Tragelaphus	Artiodactyla	9	80	2	2	1	NA
Giraffa	Artiodactyla	8	57	1	1	1	NA
Connochaetes	Artiodactyla	5	24	1	3	1	NA
Simatherium	Artiodactyla	3	10	1	3	1	NA
Parmularius	Artiodactyla	5	10	1	3	1	NA
Parapapio	Primates	9	30	1	1	1	NA
Theropithecus	Primates	8	80	2	2	1	NA
Hippopotamus	Artiodactyla	8	62	2	2	1	NA
Gazella	Artiodactyla	9	58	1	3	1	NA
Megalotragus	Artiodactyla	6	50	1	3	1	NA
Notochoerus	Artiodactyla	7	55	2	2	1	NA
Nyanzachoerus	Artiodactyla	6	29	1	1	1	NA
Hipparion	Perissodactyla	10	72	1	3	1	NA
Deinotherium	Proboscidea	10	38	1	1	1	NA
Equus	Perissodactyla	5	65	1	3	1	NA
Kolpochoerus	Artiodactyla	6	75	1	2	1	NA
Metridiochoerus	Artiodactyla	7	78	1	3	1	NA
Raphicerus	Artiodactyla	4	7	2	3	1	NA
Eurygnathohippus	Perissodactyla	6	24	1	3	1	NA
Australopithecus	Primates	6	32	1	1	1	NA
Damalacra	Artiodactyla	3	7	1	3	1	NA
Hippotragus	Artiodactyla	8	16	1	3	1	NA
Loxodonta	Proboscidea	6	19	2	2	1	NA
Elephas	Proboscidea	9	55	1	3	1	NA
Hexaprotodon	Artiodactyla	8	64	1	1	1	NA
Ceratotherium	Perissodactyla	10	41	2	3	1	NA
Potamochoerus	Artiodactyla	6	10	1	1	1	NA
Rhinocolobus	Primates	6	14	1	1	1	NA
Damaliscus	Artiodactyla	8	48	1	3	1	NA
Menelikia	Artiodactyla	9	50	1	3	1	NA
Beatragus	Artiodactyla	3	11	1	3	1	NA
Homo	Primates	3	28	1	1	1	NA
Pelorovis	Artiodactyla	4	49	1	3	1	NA
Cercocebus	Primates	1	11	1	1	1	NA
Colobus	Primates	2	6	1	1	1	NA
Paranthropus	Primates	3	6	1	1	1	NA
Oryx	Artiodactyla	4	11	1	3	1	NA
Antidorcas	Artiodactyla	5	37	1	3	1	NA
Diceros	Perissodactyla	8	24	1	2	1	NA
Madoqua	Artiodactyla	4	7	1	2	1	NA
Paracolobus	Primates	4	7	1	1	1	NA
Anancus	Proboscidea	4	7	1	1	1	NA
Miotragocerus	Artiodactyla	3	7	1	2	1	NA
Stegotetrabelodon	Proboscidea	3	7	1	1	1	NA
Brachypotherium	Perissodactyla	3	12	1	2	1	NA
Palaeotragus	Artiodactyla	3	10	1	1	1	NA
Tragoportax	Artiodactyla	3	7	1	2	1	NA
Ugandax	Artiodactyla	4	7	1	3	1	NA
